,,,Commodity,Commodity,Commodity,Commodity,Commodity,Commodity,Production,Production,Production,Production,Production,Production,Indirect Tax,Indirect Tax,Indirect Tax,Indirect Tax,Indirect Tax,Indirect Tax,Indirect Tax,Indirect Tax,Indirect Tax,Indirect Tax,Indirect Tax,Direct Tax,Direct Tax,Final Demand,Final Demand,Final Demand,Final Demand,Final Demand,Final Demand,Final Demand,Total
,,,Import,Import,Import,Domestic,Domestic,Domestic,Activity,Activity,Activity,Factor,Factor,Factor,Import,Export,Import,Import,Import,Domestic,Domestic,Domestic,Use,Use,Use,Production,Income,Regional Household,Private Household,Government,Savings,Trade Margins,Trade Margins,RoW,Total
,,,AGR,MFG,SER,AGR,MFG,SER,AGR,MFG,SER,Land,Labor,Capital,Import,Export,AGR,MFG,SER,AGR,MFG,SER,Land,Labor,Capital,Production,Income,Regional Household,Private Household,Government,Savings,Import,Export,RoW,Total
Commodity,Import,AGR,0,0,0,0,0,0,1,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,34
Commodity,Import,MFG,0,0,0,0,0,0,9,797,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,501,0,294,0,0,0,1901
Commodity,Import,SER,0,0,0,0,0,0,1,22,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,4,0,0,0,314
Commodity,Domestic,AGR,0,0,0,0,0,0,35,165,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,52,326
Commodity,Domestic,MFG,0,0,0,0,0,0,62,2007,1502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1355,0,764,0,0,970,6660
Commodity,Domestic,SER,0,0,0,0,0,0,86,1329,4821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7742,2258,1604,0,28,345,18213
Production,Activity,AGR,0,0,0,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,326
Production,Activity,MFG,0,0,0,0,6657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6657
Production,Activity,SER,0,0,0,0,0,18212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18212
Production,Factor,Land,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
Production,Factor,Labor,0,0,0,0,0,0,47,1361,6797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8205
Production,Factor,Capital,0,0,0,0,0,0,53,649,2846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3548
Indirect Tax,Import,Import,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24
Indirect Tax,Export,Export,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Indirect Tax,Import,AGR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Indirect Tax,Import,MFG,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,5,0,0,0,59
Indirect Tax,Import,SER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indirect Tax,Domestic,AGR,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1
Indirect Tax,Domestic,MFG,0,0,0,0,0,0,0,11,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,12,0,0,0,205
Indirect Tax,Domestic,SER,0,0,0,0,0,0,-4,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1,0,0,0,58
Indirect Tax,Use,Land,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Indirect Tax,Use,Labor,0,0,0,0,0,0,4,205,1023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1232
Indirect Tax,Use,Capital,0,0,0,0,0,0,-2,21,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112
Direct Tax,Production,Production,0,0,0,0,0,0,1,70,511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,582
Direct Tax,Income,Income,0,0,0,0,0,0,0,0,0,3,1742,294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2039
Final Demand,Regional Household,Regional Household,0,0,0,0,0,0,0,0,0,33,6463,1994,24,3,1,59,0,1,204,58,-1,1232,112,581,2039,0,0,0,0,0,0,0,12803
Final Demand,Private Household,Private Household,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9949,0,0,0,0,0,0,9949
Final Demand,Government,Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2258,0,0,0,0,0,0,2258
Final Demand,Savings,Savings,0,0,0,0,0,0,0,0,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,594,0,0,0,0,58,773,2685
Final Demand,Trade Margins,Import,5,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86
Final Demand,Trade Margins,Export,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,86
Final Demand,RoW,RoW,28,1797,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2140
Total,Total,Total,34,1901,315,326,6660,18212,327,6660,18213,36,8205,3548,24,3,1,59,0,1,204,58,-1,1232,112,581,2039,12801,9949,2258,2684,86,86,2140,